mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
32.123,0.78,1.488,0.454,0.515,0.262,2.718,13.537,0.0
38.472,0.87,0.593,0.154,0.298,0.163,1.208,13.352,0.0
38.321,0.902,0.33,0.108,0.234,0.12,0.792,13.419,0.0
39.03,0.912,0.296,0.081,0.22,0.1,0.697,13.269,0.0
38.338,0.922,0.204,0.064,0.202,0.084,0.554,13.419,0.0
38.554,0.924,0.182,0.054,0.195,0.076,0.506,13.333,0.0
38.435,0.931,0.2,0.05,0.182,0.069,0.502,13.323,0.0
39.235,0.93,0.153,0.047,0.184,0.067,0.45,13.462,0.0
38.75,0.929,0.14,0.04,0.18,0.064,0.423,13.342,0.0
37.621,0.943,0.139,0.035,0.146,0.057,0.376,13.442,0.0
37.736,0.941,0.124,0.037,0.15,0.054,0.366,13.46,0.0
38.01,0.944,0.113,0.034,0.143,0.056,0.345,13.484,0.0
37.797,0.946,0.104,0.029,0.135,0.054,0.322,13.433,0.0
38.275,0.948,0.098,0.032,0.132,0.051,0.313,13.563,0.0
38.562,0.955,0.088,0.026,0.121,0.047,0.282,13.497,0.0
38.016,0.95,0.084,0.028,0.13,0.045,0.287,13.506,0.0
38.699,0.95,0.077,0.025,0.135,0.043,0.279,13.511,0.0
38.812,0.96,0.074,0.024,0.112,0.041,0.25,13.462,0.0
39.18,0.955,0.073,0.025,0.109,0.04,0.248,13.585,0.0
39.535,0.954,0.075,0.02,0.121,0.041,0.257,13.5,0.0
38.542,0.951,0.078,0.02,0.125,0.04,0.263,13.444,0.0
38.152,0.952,0.07,0.018,0.121,0.037,0.246,13.369,0.0
38.287,0.958,0.065,0.021,0.111,0.037,0.235,13.596,0.0
37.868,0.958,0.07,0.023,0.119,0.037,0.249,13.528,0.0
38.191,0.958,0.07,0.018,0.107,0.034,0.229,13.515,0.0
38.501,0.962,0.065,0.017,0.107,0.036,0.226,13.416,0.0
38.035,0.958,0.065,0.015,0.104,0.036,0.22,13.449,0.0
38.319,0.965,0.064,0.02,0.096,0.036,0.216,13.774,0.0
39.397,0.964,0.066,0.015,0.095,0.033,0.21,13.63,0.0
39.43,0.962,0.065,0.018,0.101,0.034,0.218,13.734,0.0
38.833,0.961,0.07,0.014,0.103,0.031,0.218,13.485,0.0
38.892,0.962,0.068,0.015,0.092,0.032,0.207,13.57,0.0
37.743,0.959,0.066,0.013,0.103,0.033,0.214,13.614,0.0
39.123,0.97,0.063,0.015,0.078,0.033,0.188,13.543,0.0
39.639,0.966,0.064,0.014,0.088,0.032,0.198,13.524,0.0
39.459,0.967,0.064,0.016,0.088,0.03,0.197,13.402,0.0
39.526,0.971,0.065,0.012,0.083,0.03,0.19,13.315,0.0
40.407,0.964,0.065,0.012,0.092,0.031,0.2,13.235,0.0
40.369,0.965,0.063,0.01,0.092,0.028,0.193,13.305,0.0
40.002,0.967,0.063,0.013,0.091,0.029,0.196,13.211,0.0
